Song,Album Release Date,Hot100 Ranking Year,Decade,Season
Heartaches - Remastered,2020-09-18,2020,new millennium,Autumn
We Can Work It Out - Remastered 2015,2000-11-13,2000,new millennium,Autumn
Seasons Change,1987-04-08,1988,Eighties,Spring
Stuck with U - Karaoke Version originally performed by Ariana Grande & Justin Bieber,2020-06-24,2020,new millennium,Summer
Crocodile Rock,1973-01-22,1973,Seventies,Winter
Bailando - Spanish Version,2014-01-01,2014,new millennium,Winter
3 A.M. Eternal - Originally Performed By The KLF,2011-04-05,2011,new millennium,Spring
Super Bass,2010-11-22,2011,new millennium,Autumn
Money (That's What I Want),2006-01-31,2006,new millennium,Winter
Calendar Girl,1959-06-12,1961,Fifties,Summer
What Does It Take (To Win Your Love),1969-11-21,1969,Sixties,Autumn
Young Emotions - Remastered,1963-01-01,1963,Sixties,Winter
Live Your Life,2008-09-07,2009,new millennium,Autumn
No One,2007-11-09,2007,new millennium,Autumn
"Puff, the Magic Dragon",1963-07-10,1963,Sixties,Summer
Nobody but You,2022-07-08,2022,new millennium,Summer
Just Take My Heart - 2021 Remastered,1991-06-11,1992,Nighnties,Summer
Piece of Me,2007-10-25,2008,new millennium,Autumn
Sky Walker (feat. Travis Scott),2017-12-01,2018,new millennium,Winter
Single Ladies (Put a Ring on It),2008-11-14,2009,new millennium,Autumn
Payphone,2012-01-01,2012,new millennium,Winter
Him & I (with Halsey),2017-12-15,2018,new millennium,Winter
I'll Remember (Originally Performed by Madonna) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Because Of Love,1993-05-18,1994,Nighnties,Spring
Shoulder Lean (feat. T.I.),2006-06-27,2006,new millennium,Summer
Motorcycle Mama,1972-01-06,1972,Seventies,Winter
Won’t Get Fooled Again - Live,2017-09-15,2017,new millennium,Autumn
Confessions Part II,2004-03-23,2004,new millennium,Spring
One Hundred Ways,1981-03-28,1982,Eighties,Spring
It Never Rains in Southern California,1972-08-16,1973,Seventies,Summer
What A Diff'rence A Day Made,1959-02-19,1959,Fifties,Winter
Karaoke - Wishing Well,2005-01-01,2005,new millennium,Winter
True Blue,1986-06-30,1986,Eighties,Summer
Killer Queen - Remastered 2011,1974-11-08,1975,Seventies,Autumn
Runaround Sue,1961-06-15,1961,Sixties,Summer
Freek-A-Leek,2004-06-13,2004,new millennium,Summer
If You Leave Me Now,1976-06-14,1976,Seventies,Summer
Walked Outta Heaven,2003-10-07,2004,new millennium,Autumn
Don't Talk to Strangers,1982-03-23,1982,Eighties,Spring
Love Is A Hurtin' Thing,1992-01-01,1992,Nighnties,Winter
He Don't Love You (Like I Love You),1975-04-11,1975,Seventies,Spring
I'd Do Anything For Love (But I Won't Do That) - Single Edit,1993-03-08,1994,Nighnties,Spring
One Moment in Time,2022-12-16,2022,new millennium,Winter
Blowin' in the Wind,1963-02-09,1963,Sixties,Winter
Be-Bop Baby - Remastered,1957-11-01,1957,Fifties,Autumn
P*$$Y Fairy (OTW),2020-01-17,2020,new millennium,Winter
Rapture,2006-01-01,2006,new millennium,Winter
That's That Shit,2008-01-01,2008,new millennium,Winter
NO,2017-05-12,2017,new millennium,Spring
My Love,1996-04-22,1996,Nighnties,Spring
Loser,1994-03-01,1994,Nighnties,Spring
My Happy Ending,2004-04-08,2004,new millennium,Spring
Life Is A Highway,1991-09-19,1992,Nighnties,Autumn
Let's Get Married (feat. Run) - ReMarqable Remix,2006-11-21,2006,new millennium,Autumn
"Help Me, Rhonda - Single Version/Remastered 2001",1965-07-05,1965,Sixties,Summer
Trying To Hold On To My Woman,1973-01-01,1974,Seventies,Winter
The Hills,2015-08-28,2016,new millennium,Summer
Suicidal (Remix) [feat. Juice WRLD],2020-03-13,2020,new millennium,Spring
Easy On Me,2021-10-14,2022,new millennium,Autumn
American Pie,1971-09-14,1972,Seventies,Autumn
Real Good Man,2015-06-16,2015,new millennium,Summer
You Gotta Be (Originally Performed by Des'ree) [Karaoke Version] - 1995,2013-04-27,2013,new millennium,Spring
Never Be Anyone Else But You - Remastered,1959-01-01,1959,Fifties,Winter
The Glamorous Life,1984-04-14,1984,Eighties,Spring
On Top Of Old Smoky,1996-01-01,1996,Nighnties,Winter
Funkytown - Single Version,2007-01-01,2007,new millennium,Winter
Like a Rolling Stone,1965-08-30,1965,Sixties,Summer
We've Got Tonight,2023-04-26,2023,new millennium,Spring
She Believes In Me,1978-11-20,1979,Seventies,Autumn
Dance the Night Away - 2015 Remaster,1979-03-23,1979,Seventies,Spring
In the Chapel in the Moonlight,2021-03-26,2021,new millennium,Spring
You're Only Lonely,1979-05-09,1980,Seventies,Spring
Somethin' Stupid,1967-08-01,1967,Sixties,Summer
Laughing on the Outside (Crying on the Inside),1995-05-16,1995,Nighnties,Spring
Romeo's Tune,1979-12-07,1980,Seventies,Winter
I Still Believe,1998-11-17,1999,Nighnties,Autumn
Somebody's Watching Me,2012-02-01,2012,new millennium,Winter
A Little Bitty Tear - Single Version,1994-01-01,1994,Nighnties,Winter
"Promises, Promises - US Single Version",1983-01-01,1983,Eighties,Winter
Indian Lake,1968-01-01,1968,Sixties,Winter
If I Can't Have You,2019-06-19,2019,new millennium,Summer
Rock & Roll Must Go (It's in the Book),2012-04-25,2012,new millennium,Spring
My Happiness (feat. Fiona Prine),2016-09-30,2016,new millennium,Autumn
"Bad Case Of Loving You (Doctor, Doctor)",1979-10-14,1979,Seventies,Autumn
High Enough,1990-08-13,1991,Nighnties,Summer
St. Elmos Fire (Man in Motion),1985-01-01,1985,Eighties,Winter
Wait,1987-09-12,1988,Eighties,Autumn
Close,2016-06-10,2016,new millennium,Summer
All I Have to Give,1996-09-13,1999,Nighnties,Autumn
Do You Know (What It Takes),1995-10-13,1997,Nighnties,Autumn
Please Please Me - Remastered 2009,1963-03-22,1964,Sixties,Spring
Last Night Lonely,2022-09-02,2022,new millennium,Autumn
Savage,2020-03-06,2020,new millennium,Spring
Boogie Nights,1977-06-27,1977,Seventies,Summer
Rain On Me,2003-01-01,2003,new millennium,Winter
Not a Bad Thing,2013-09-27,2014,new millennium,Autumn
Come Sail Away,1977-01-01,1978,Seventies,Winter
Do Your Thing,1968-02-09,1969,Sixties,Winter
Berzerk,2013-11-05,2013,new millennium,Autumn
A Teenager's Romance,2000-01-01,2000,new millennium,Winter
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2010-03-08,2011,new millennium,Spring
Falling,2020-03-26,2020,new millennium,Spring
Chained To The Rhythm,2017-06-09,2017,new millennium,Summer
Black Beatles,2016-08-12,2017,new millennium,Summer
Batdance,1989-06-20,1989,Eighties,Summer
Sugar Walls,1984-03-09,1985,Eighties,Spring
Elvira,1981-01-01,1981,Eighties,Winter
Starving,2023-04-07,2023,new millennium,Spring
What's My Name?,2010-01-01,2011,new millennium,Winter
Heaven Knows,1979-10-15,1979,Seventies,Autumn
Love You So,2012-07-10,2012,new millennium,Summer
Put Your Head On My Shoulder,2000-10-03,2000,new millennium,Autumn
Classic Man (feat. Roman GianArthur),2015-02-03,2015,new millennium,Winter
He'll Have to Go,1964-05-11,1964,Sixties,Spring
Apache,2007-10-30,2007,new millennium,Autumn
Outta My System (feat. T-Pain & Johntá Austin),2006-12-18,2007,new millennium,Winter
Wonderland By Night (Wunderland bei Nacht),1961-01-01,1961,Sixties,Winter
Rockstar,2022-05-13,2022,new millennium,Spring
Lady - Remastered 2022,1978-04-02,1979,Seventies,Spring
Cryin',1993-01-01,1993,Nighnties,Winter
Red Dirt Road,2003-07-15,2003,new millennium,Summer
The Lady In Red,1986-01-01,1987,Eighties,Winter
Everybody's Somebody's Fool,2005-06-14,2005,new millennium,Summer
Tusk - 2015 Remaster,1979-10-12,1980,Seventies,Autumn
Dang Me,1996-06-08,1996,Nighnties,Summer
"Oh, Babe What Would You Say",2020-10-16,2020,new millennium,Autumn
My Baby Loves Lovin',2013-03-31,2013,new millennium,Spring
Shackles (Praise You),2000-05-02,2000,new millennium,Spring
Treat Her Like A Lady,1996-01-01,1996,Nighnties,Winter
Let It Rock,2008-01-01,2009,new millennium,Winter
Under the Bridge,1991-09-24,1992,Nighnties,Autumn
Golden Earrings,1998-01-01,1998,Nighnties,Winter
When I Need You - Remastered,1976-08-22,1977,Seventies,Summer
Your Body's Callin',1993-11-07,1994,Nighnties,Autumn
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),2021-04-30,2021,new millennium,Spring
The Shoop Shoop Song (It's In His Kiss),1993-01-01,1993,Nighnties,Winter
Angel Eyes - Album Edit,1999-07-27,1999,Nighnties,Summer
The Humpty Dance,1990-03-26,1990,Nighnties,Spring
Express,1974-04-16,1975,Seventies,Spring
Bitch,1997-01-01,1997,Nighnties,Winter
See You in September,1966-05-17,1966,Sixties,Spring
The Joker,1973-01-01,1974,Seventies,Winter
The Big Hurt,1959-05-06,1960,Fifties,Spring
Say It,2016-08-19,2016,new millennium,Summer
Along Came Jones - 2007 Remaster; Remastered,2007-12-07,2007,new millennium,Winter
Everything I Own,1972-08-04,1972,Seventies,Summer
The Rain The Park And Other Things,1967-01-01,1967,Sixties,Winter
Should I Do It,1981-07-07,1982,Eighties,Summer
The London (feat. J. Cole & Travis Scott),2019-05-23,2019,new millennium,Spring
Lovin' You,1974-08-11,1975,Seventies,Summer
I Ran (So Far Away) - Single Edit,2023-02-17,2023,new millennium,Winter
Music Box Dancer,1978-01-01,1979,Seventies,Winter
The Finer Things,2010-01-01,2010,new millennium,Winter
I Feel the Earth Move,1971-07-12,1971,Seventies,Summer
One Mint Julep,1961-03-01,1961,Sixties,Spring
Again,2000-01-01,2001,new millennium,Winter
Woman - Remastered 2010,1980-11-17,1981,Eighties,Autumn
Don't Go Breaking My Heart (Karaoke in the style of Elton John & Kiki Dee),2009-09-21,2009,new millennium,Autumn
"The Loveliest Night of the Year (From ""The Great Caruso"")",2013-08-23,2013,new millennium,Summer
Always in My Heart,1993-04-05,1994,Nighnties,Spring
H.O.L.Y.,2016-08-26,2016,new millennium,Summer
Doo Wop (That Thing),1998-08-25,1999,Nighnties,Summer
The Twist,2020-06-19,2020,new millennium,Summer
Hey Lover,1995-11-21,1996,Nighnties,Autumn
It Was Almost Like A Song,1977-07-01,1977,Seventies,Summer
Semi-Charmed Life,1997-04-08,1998,Nighnties,Spring
I Love,1995-09-01,1995,Nighnties,Autumn
Stronger,2007-09-11,2007,new millennium,Autumn
Devil Or Angel,1960-01-01,1960,Sixties,Winter
I Don't Dance,2014-09-09,2014,new millennium,Autumn
1 Thing,2005-03-09,2005,new millennium,Spring
Youngblood,2018-06-15,2019,new millennium,Summer
Best of You,2005-06-14,2005,new millennium,Summer
On a Slow Boat to China,2000-05-09,2000,new millennium,Spring
Wedding Song (There Is Love),1971-01-01,1971,Seventies,Winter
Circles,2019-09-06,2020,new millennium,Autumn
Mad,2008-01-01,2009,new millennium,Winter
Please Mr. Please,1975-03-12,1975,Seventies,Spring
The Search Is Over,1984-01-01,1985,Eighties,Winter
Make 'Em Say Ugh,1997-04-05,1998,Nighnties,Spring
A Little Bird Told Me,1998-01-01,1998,Nighnties,Winter
White Walls (feat. ScHoolboy Q & Hollis),2012-10-09,2014,new millennium,Autumn
Mood (feat. iann dior),2021-03-26,2021,new millennium,Spring
"Sit Still, Look Pretty",2016-10-07,2016,new millennium,Autumn
"I Wonder, I Wonder, I Wonder",1996-01-01,1996,Nighnties,Winter
4 Seasons Of Loneliness,1997-03-23,1998,Nighnties,Spring
Counting Stars,2014-01-01,2014,new millennium,Winter
Carrie,1986-05-14,1987,Eighties,Spring
Mad About You,1986-05-19,1986,Eighties,Spring
Rub You The Right Way,1990-01-01,1990,Nighnties,Winter
In My Little Corner of the World,2014-02-15,2014,new millennium,Winter
Hotline Bling,2016-05-06,2016,new millennium,Spring
You Don't Know What You've Got (Until You Lose It),2020-12-25,2020,new millennium,Winter
Born Free,1966-01-01,1966,Sixties,Winter
Theme from The Rockford Files (feat. Larry Carlton),2005-02-08,2005,new millennium,Winter
Stutter (feat. Mystikal) - Double Take Remix,2000-04-18,2001,new millennium,Spring
Thank You,1999-06-01,2001,Nighnties,Summer
Tears - Tommy Dee Remix,2010-09-11,2010,new millennium,Autumn
I Saw the Light,1972-07-14,1972,Seventies,Summer
Misled,1999-03-01,1999,Nighnties,Spring
Sweet And Innocent,1971-09-05,1971,Seventies,Autumn
This Guy's In Love With You,1968-05-01,1968,Sixties,Spring
Treat You Better,2017-04-20,2017,new millennium,Spring
I Love You,1980-09-13,1981,Eighties,Autumn
Personality,1959-01-01,1959,Fifties,Winter
Where Them Girls At (feat. Nicki Minaj & Flo Rida),2011-08-24,2011,new millennium,Summer
Runaway,1961-01-01,1961,Sixties,Winter
Words Get In the Way,1985-08-13,1986,Eighties,Summer
My Heart Has A Mind Of Its Own,2005-06-14,2005,new millennium,Summer
Superstition - Single Version,2002-10-29,2002,new millennium,Autumn
Plain Jane REMIX (feat. Nicki Minaj),2017-12-15,2018,new millennium,Winter
Circles,2019-09-06,2019,new millennium,Autumn
Days Go By,2002-03-09,2002,new millennium,Spring
Best Friend (feat. Doja Cat),2021-04-23,2021,new millennium,Spring
I Never Cry,1976-01-01,1977,Seventies,Winter
96 Tears,1966-04-07,1966,Sixties,Spring
With These Hands,2022-11-11,2022,new millennium,Autumn
Inside Your Heaven (Bonus Track),2005-11-14,2005,new millennium,Autumn
Tell It Like It Is,2000-01-11,2000,new millennium,Winter
"FourFiveSeconds - Tribute to Rihanna, Kanye West and Paul McCartney",2015-02-06,2015,new millennium,Winter
Little Woman,2012-03-08,2012,new millennium,Spring
My Boo - In the Style of Usher & Alicia Keys (Karaoke Version Teaching Vocal),2010-02-01,2010,new millennium,Winter
Where Do You Go,1996-10-05,1997,Nighnties,Autumn
No Letting Go,2003-03-04,2003,new millennium,Spring
Major Tom (Coming Home),1989-04-04,1989,Eighties,Spring
Naughty Girls (Need Love Too),1987-05-18,1988,Eighties,Spring
I'm Upset (Karaoke Version Originally performed by Drake),2018-10-17,2018,new millennium,Autumn
Otherside,1999-06-08,2000,Nighnties,Summer
Baby Workout,1963-06-16,1963,Sixties,Summer
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",2008-06-10,2008,new millennium,Summer
Let's Do It Again,1975-10-11,1976,Seventies,Autumn
100 Years,2003-03-07,2004,new millennium,Spring
Say Something (feat. Chris Stapleton),2018-02-02,2018,new millennium,Winter
(Keep Feeling) Fascination - Remastered,2005-01-01,2005,new millennium,Winter
Jet Airliner,1978-01-01,1978,Seventies,Winter
You Do,1949-12-03,1949,Fourties,Winter
Like A G6,2010-01-01,2010,new millennium,Winter
Sk8er Boi,2002-06-04,2002,new millennium,Summer
Make It with You,1970-04-12,1970,Seventies,Spring
Jingle Bell Rock,1957-12-02,2022,Fifties,Winter
Return of the Mack,1996-04-22,1997,Nighnties,Spring
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),1998-10-03,1998,Nighnties,Autumn
Suspicious Minds,1969-06-17,1969,Sixties,Summer
Industry Baby - Karaoke Version Originally Performed by Lil Nas X & Jack Harlow,2021-11-30,2021,new millennium,Autumn
"Baby, It's Cold Outside",2000-06-17,2000,new millennium,Summer
I Will Always Love You,1992-11-17,1993,Nighnties,Autumn
Love Will Keep Us Together,1975-01-01,1975,Seventies,Winter
Watch Me (Whip / Nae Nae),2015-05-04,2016,new millennium,Spring
Let Her In,1978-01-01,1978,Seventies,Winter
Separate Ways (Worlds Apart),1983-02-22,1983,Eighties,Winter
White Flag,2003-09-03,2004,new millennium,Autumn
It's Not Over,2006-04-16,2007,new millennium,Spring
Wind Beneath My Wings,1988-04-16,1989,Eighties,Spring
Patches,2016-07-14,2016,new millennium,Summer
Do That To Me One More Time,1979-01-01,1980,Seventies,Winter
Stand By Me - Single Version,1974-03-09,1980,Seventies,Spring
Hollaback Girl,2004-11-23,2005,new millennium,Autumn
Holiday,1983-07-27,1984,Eighties,Summer
Flyin' Saucers Rock & Roll,1956-01-01,1956,Fifties,Winter
Green Tambourine,1968-08-16,1968,Sixties,Summer
Get the Party Started (Originally Performed by Pink) [Karaoke Version],2013-03-15,2013,new millennium,Spring
Love Her Madly,1971-04-19,1971,Seventies,Spring
Hot N Cold,2008-06-17,2009,new millennium,Summer
We Belong,1984-05-16,1985,Eighties,Spring
Go All The Way,1972-05-16,1972,Seventies,Spring
You Must Love Me,1996-10-25,1997,Nighnties,Autumn
Johnny Get Angry,1962-03-07,1962,Sixties,Spring
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,1966-10-10,1966,Sixties,Autumn
"I Can Dream, Can't I? - 1949 Single Version",1987-01-01,1987,Eighties,Winter
Bring Em Out,2004-11-28,2005,new millennium,Autumn
Beyond the Sea,1959-04-04,1960,Fifties,Spring
Fame - 2016 Remaster,1975-03-07,1975,Seventies,Spring
Do You Believe In Love,1982-01-01,1982,Eighties,Winter
Two Princes,1991-08-27,1993,Nighnties,Summer
Patience,1987-07-21,1989,Eighties,Summer
Bits and Pieces - 2019 - Remaster,1964-07-06,1964,Sixties,Summer
A Rose Is Still a Rose,1998-03-10,1998,Nighnties,Spring
Changing Partners,1960-09-07,1960,Sixties,Autumn
Time Has Come Today,1996-10-08,1996,Nighnties,Autumn
(Oh Baby Mine) I Get so Lonely,1944-04-14,1954,Fourties,Spring
Rock the Boat 4Love,2021-10-01,2021,new millennium,Autumn
Party (feat. André 3000),2011-06-24,2022,new millennium,Summer
California Love - Original Version,1998-01-01,1998,Nighnties,Winter
Cyclone (feat. T-Pain) - Main,2007-07-31,2008,new millennium,Summer
Popcorn,2005-05-13,2005,new millennium,Spring
Baby Scratch My Back - Single Version,2003-07-24,2003,new millennium,Summer
Bad Day,2005-02-22,2006,new millennium,Winter
I Have Nothing,1992-11-17,1993,Nighnties,Autumn
Wannabe,1996-01-01,1997,Nighnties,Winter
Don't Give up on Us (Originally Performed by David Soul) [Karaoke Version],2015-08-11,2015,new millennium,Summer
The Most Beautiful Girl,1972-05-04,1974,Seventies,Spring
Everytime We Touch,2010-02-12,2010,new millennium,Winter
Silent Running,1985-10-05,1986,Eighties,Autumn
I Know What You Did Last Summer (tribute to Shawn Mendes & Camila Cabello),2016-02-02,2016,new millennium,Winter
Something About The Way You Look Tonight - Edit Version,1997-01-01,1998,Nighnties,Winter
With Or Without You,1987-03-03,1987,Eighties,Spring
Breakin'...There's No Stopping Us,1984-01-01,1984,Eighties,Winter
Maybe Your Baby,1972-10-28,1972,Seventies,Autumn
I Get Around,1993-02-16,1993,Nighnties,Winter
Moody River - Single Version,1993-01-01,1993,Nighnties,Winter
Both (feat. Drake),2016-12-16,2017,new millennium,Winter
To Know Him is to Love Him,1978-02-10,1978,Seventies,Winter
My Hitta,2013-01-01,2014,new millennium,Winter
Blinding Lights,2020-03-20,2021,new millennium,Spring
Lose Yourself,2005-12-06,2005,new millennium,Winter
Baby Don't Go,1972-09-01,1972,Seventies,Autumn
Light My Fire,2011-09-05,2011,new millennium,Autumn
Two Out of Three Ain't Bad,1977-10-21,1978,Seventies,Autumn
Heaven,2002-02-26,2002,new millennium,Winter
Jailhouse Rock,1997-07-15,1997,Nighnties,Summer
A Fifth Of Beethoven,1977-11-15,1977,Seventies,Autumn
Up on the Roof,1964-06-01,1964,Sixties,Summer
Sugar,2014-09-02,2015,new millennium,Autumn
Hello It's Me,1972-05-12,1974,Seventies,Spring
Cherish - Single Version,2018-05-25,2018,new millennium,Spring
Gangsta Lovin',2002-01-01,2002,new millennium,Winter
Step By Step,1958-12-04,1960,Fifties,Winter
Wheel Of Fortune,1964-06-01,1964,Sixties,Summer
So Very Hard to Go,1973-05-01,1973,Seventies,Spring
Every Breath You Take,1983-06-17,1983,Eighties,Summer
Two Is Better Than One (feat. Taylor Swift),2009-09-07,2010,new millennium,Autumn
Right Back Where We Started From,2020-11-27,2020,new millennium,Autumn
It Will Rain,2011-11-04,2012,new millennium,Autumn
Can't We Try,1987-08-11,1987,Eighties,Summer
Glad You Came,2011-01-01,2012,new millennium,Winter
Back To You - From 13 Reasons Why – Season 2 Soundtrack,2018-05-10,2018,new millennium,Spring
That's the Way of the World,1975-03-15,1975,Seventies,Spring
I'm Gonna Knock on Your Door,2010-04-20,2010,new millennium,Spring
Thunder Island,1978-05-02,1978,Seventies,Spring
Love Takes Time,1990-06-12,1991,Nighnties,Summer
